Nr,s,x1_start,x2_start,x1_opt,x2_opt,f_opt,f_calls,flag
88,0.1,1.20853,-0.315163,1.54916,0.000462155,2.47857,75,1
89,0.1,0.873889,1.97039,0.775452,1.54851,3.0984,83,1
90,0.1,-0.219064,-1.69827,-0.000314248,-1.54827,2.47855,64,1
91,0.1,0.950468,0.333762,0.775468,-0.000612949,0.619867,90,1
92,0.1,-0.351664,-1.27385,-0.000101267,-0.775416,0.619853,83,1
93,0.1,-1.01918,0.203068,-0.775429,-5.73801e-05,0.619853,66,1
94,0.1,1.23392,0.756814,1.54799,0.774002,3.0984,86,1
95,0.1,-0.874238,-0.0874187,-0.774238,8.12859e-05,0.619845,50,1
96,0.1,0.440068,1.18744,0.774443,0.774938,1.23968,87,1
97,0.1,1.62786,-0.0196257,1.54817,0.000686802,2.47856,65,1
98,0.1,0.64712,1.40449,0.775245,1.54824,3.09839,64,1
99,0.1,-0.418629,-1.34689,0.000121366,-1.54846,2.47855,87,1
100,0.1,-1.65594,1.54199,-1.54813,1.54824,4.95709,57,1
1,0.5,-0.391674,-1.781,0.000904368,-0.775142,0.619869,87,1
2,0.5,-0.522121,1.80125,-0.00063711,0.773906,0.619871,89,1
