t,alpha,omega
51.5,3.14159,2.37268e-06
51.6,3.14159,2.32263e-06
51.7,3.14159,2.27193e-06
51.8,3.14159,2.22067e-06
51.9,3.14159,2.16896e-06
52,3.14159,2.11689e-06
52.1,3.14159,2.06455e-06
52.2,3.14159,2.01203e-06
52.3,3.14159,1.95941e-06
52.4,3.14159,1.90676e-06
52.5,3.14159,1.85416e-06
52.6,3.14159,1.80168e-06
52.7,3.14159,1.74938e-06
52.8,3.14159,1.69734e-06
52.9,3.14159,1.6456e-06
53,3.14159,1.59422e-06
53.1,3.14159,1.54326e-06
53.2,3.14159,1.49276e-06
53.3,3.14159,1.44277e-06
53.4,3.14159,1.39334e-06
53.5,3.14159,1.34449e-06
53.6,3.14159,1.29628e-06
53.7,3.14159,1.24873e-06
53.8,3.14159,1.20188e-06
53.9,3.14159,1.15576e-06
54,3.14159,1.11038e-06
54.1,3.14159,1.06579e-06
54.2,3.14159,1.02199e-06
54.3,3.14159,9.79006e-07
54.4,3.14159,9.36861e-07
54.5,3.14159,8.95567e-07
54.6,3.14159,8.55138e-07
54.7,3.14159,8.15585e-07
54.8,3.14159,7.76919e-07
54.9,3.14159,7.39148e-07
55,3.14159,7.02278e-07
55.1,3.14159,6.66314e-07
55.2,3.14159,6.3126e-07
55.3,3.14159,5.97118e-07
55.4,3.14159,5.63888e-07
55.5,3.14159,5.3157e-07
55.6,3.14159,5.00163e-07
55.7,3.14159,4.69662e-07
55.8,3.14159,4.40064e-07
55.9,3.14159,4.11364e-07
56,3.14159,3.83556e-07
56.1,3.14159,3.56633e-07
56.2,3.14159,3.30587e-07
56.3,3.14159,3.05408e-07
56.4,3.14159,2.81089e-07
56.5,3.14159,2.57618e-07
56.6,3.14159,2.34985e-07
56.7,3.14159,2.13178e-07
56.8,3.14159,1.92186e-07
56.9,3.14159,1.71996e-07
57,3.14159,1.52595e-07
57.1,3.14159,1.33969e-07
57.2,3.14159,1.16106e-07
57.3,3.14159,9.89899e-08
57.4,3.14159,8.26074e-08
57.5,3.14159,6.69436e-08
57.6,3.14159,5.19836e-08
57.7,3.14159,3.7712e-08
57.8,3.14159,2.41137e-08
57.9,3.14159,1.11732e-08
58,3.14159,-1.1252e-09
58.1,3.14159,-1.27971e-08
58.2,3.14159,-2.38584e-08
58.3,3.14159,-3.43247e-08
58.4,3.14159,-4.4212e-08
58.5,3.14159,-5.35359e-08
58.6,3.14159,-6.23124e-08
58.7,3.14159,-7.05571e-08
58.8,3.14159,-7.82857e-08
58.9,3.14159,-8.55138e-08
59,3.14159,-9.22569e-08
59.1,3.14159,-9.85302e-08
59.2,3.14159,-1.04349e-07
59.3,3.14159,-1.09729e-07
59.4,3.14159,-1.14684e-07
59.5,3.14159,-1.19229e-07
59.6,3.14159,-1.23379e-07
59.7,3.14159,-1.27149e-07
59.8,3.14159,-1.30551e-07
59.9,3.14159,-1.33601e-07
60,3.14159,-1.36313e-07
60.1,3.14159,-1.38698e-07
60.2,3.14159,-1.40772e-07
60.3,3.14159,-1.42546e-07
60.4,3.14159,-1.44033e-07
60.5,3.14159,-1.45247e-07
60.6,3.14159,-1.46199e-07
60.7,3.14159,-1.46901e-07
60.8,3.14159,-1.47366e-07
60.9,3.14159,-1.47604e-07
61,3.14159,-1.47626e-07
61.1,3.14159,-1.47444e-07
61.2,3.14159,-1.47068e-07
61.3,3.14159,-1.46509e-07
61.4,3.14159,-1.45776e-07
61.5,3.14159,-1.4488e-07
61.6,3.14159,-1.4383e-07
61.7,3.14159,-1.42635e-07
61.8,3.14159,-1.41304e-07
61.9,3.14159,-1.39847e-07
62,3.14159,-1.38271e-07
62.1,3.14159,-1.36584e-07
62.2,3.14159,-1.34795e-07
62.3,3.14159,-1.32912e-07
62.4,3.14159,-1.30941e-07
62.5,3.14159,-1.2889e-07
62.6,3.14159,-1.26765e-07
62.7,3.14159,-1.24574e-07
62.8,3.14159,-1.22323e-07
62.9,3.14159,-1.20018e-07
63,3.14159,-1.17664e-07
63.1,3.14159,-1.15268e-07
63.2,3.14159,-1.12835e-07
63.3,3.14159,-1.1037e-07
63.4,3.14159,-1.07879e-07
63.5,3.14159,-1.05365e-07
63.6,3.14159,-1.02835e-07
63.7,3.14159,-1.00291e-07
63.8,3.14159,-9.7738e-08
63.9,3.14159,-9.51803e-08
64,3.14159,-9.26216e-08
64.1,3.14159,-9.00653e-08
64.2,3.14159,-8.75148e-08
64.3,3.14159,-8.49735e-08
64.4,3.14159,-8.24442e-08
64.5,3.14159,-7.99299e-08
64.6,3.14159,-7.74333e-08
64.7,3.14159,-7.49569e-08
64.8,3.14159,-7.25031e-08
64.9,3.14159,-7.00741e-08
65,3.14159,-6.76721e-08
65.1,3.14159,-6.52989e-08
65.2,3.14159,-6.29564e-08
65.3,3.14159,-6.06462e-08
65.4,3.14159,-5.83698e-08
65.5,3.14159,-5.61288e-08
65.6,3.14159,-5.39243e-08
65.7,3.14159,-5.17575e-08
65.8,3.14159,-4.96296e-08
65.9,3.14159,-4.75415e-08
66,3.14159,-4.5494e-08
66.1,3.14159,-4.34878e-08
66.2,3.14159,-4.15237e-08
66.3,3.14159,-3.96023e-08
66.4,3.14159,-3.77239e-08
66.5,3.14159,-3.5889e-08
66.6,3.14159,-3.40979e-08
66.7,3.14159,-3.23509e-08
66.8,3.14159,-3.06481e-08
66.9,3.14159,-2.89896e-08
67,3.14159,-2.73754e-08
67.1,3.14159,-2.58056e-08
67.2,3.14159,-2.428e-08
67.3,3.14159,-2.27985e-08
67.4,3.14159,-2.13608e-08
67.5,3.14159,-1.99668e-08
67.6,3.14159,-1.86161e-08
67.7,3.14159,-1.73084e-08
67.8,3.14159,-1.60434e-08
67.9,3.14159,-1.48205e-08
68,3.14159,-1.36393e-08
68.1,3.14159,-1.24994e-08
68.2,3.14159,-1.14002e-08
68.3,3.14159,-1.03411e-08
68.4,3.14159,-9.32161e-09
68.5,3.14159,-8.34108e-09
68.6,3.14159,-7.39889e-09
68.7,3.14159,-6.49438e-09
68.8,3.14159,-5.62688e-09
68.9,3.14159,-4.79572e-09
69,3.14159,-4.00018e-09
69.1,3.14159,-3.23956e-09
